date,temperature_2m,temperature_925hPa,temperature_850hPa,temperature_700hPa,wind_speed_10m,wind_speed_100m,wind_speed_925hPa,wind_speed_850hPa,wind_speed_700hPa,wind_direction_10m,wind_direction_100m,wind_direction_925hPa,wind_direction_850hPa,wind_direction_700hPa
2025-06-11 00:00:00-05:00,25.65,25.85,20.3,12.15,4.920366,7.6694193,4.7853947,10.182337,5.4332314,127.568665,129.70987,116.02953,135.0001,353.6599
2025-06-11 01:00:00-05:00,24.85,25.2,19.9,12.05,4.750789,7.7155685,4.527693,10.511897,5.821512,130.73203,132.37354,120.529625,140.40382,4.92703
2025-06-11 02:00:00-05:00,23.8,24.45,19.5,12.1,4.4687805,7.5006666,4.2720017,9.98649,5.632051,130.46214,132.83891,122.57404,145.19592,6.1154146
2025-06-11 03:00:00-05:00,22.65,23.65,19.15,12.2,4.1231055,7.0837836,4.0816665,8.868484,5.1039195,129.09386,131.56627,120.963684,150.2552,2.2457027
2025-06-11 04:00:00-05:00,21.75,23.0,18.9,12.3,3.8600519,6.606814,3.7589889,7.6967525,4.527693,126.57312,129.47243,118.61037,155.43285,353.6599
2025-06-11 05:00:00-05:00,20.95,22.45,18.65,12.4,3.5510561,6.1400323,3.443835,6.609841,3.9849715,122.34742,127.05662,115.820946,162.38733,342.47433
2025-06-11 06:00:00-05:00,20.35,22.05,18.5,12.55,3.2649658,5.7140174,3.231099,5.360037,3.6619666,117.34979,122.85572,111.801476,171.41646,325.0079
2025-06-11 07:00:00-05:00,20.45,22.1,18.6,12.6,3.138471,5.283938,3.0364451,4.501111,3.8418746,112.47948,119.4758,107.241554,178.727,308.65982
2025-06-11 08:00:00-05:00,21.6,22.9,19.05,12.55,2.9732137,4.8754487,2.886174,3.8013153,4.382921,109.653915,115.513824,104.03627,178.4926,297.1496
2025-06-11 09:00:00-05:00,23.5,24.15,19.75,12.4,2.9120438,4.438468,2.8635643,3.1400635,4.9979987,105.945465,112.52061,102.09474,170.83772,289.88525
2025-06-11 10:00:00-05:00,25.45,25.45,20.45,12.3,2.886174,4.1436696,2.8635643,2.7312999,5.57853,104.03627,109.74693,102.09474,156.2505,284.5345
2025-06-11 11:00:00-05:00,27.4,26.8,21.15,12.2,2.8635643,3.8600519,2.8635643,2.624881,6.1188235,102.09474,106.55715,102.09474,139.63554,281.3099
2025-06-11 12:00:00-05:00,29.4,28.15,21.9,12.05,2.9832869,3.7363079,2.9614186,2.9681644,6.5764728,103.57046,105.52418,101.68935,122.61923,278.74606
2025-06-11 13:00:00-05:00,30.9,29.2,22.5,12.0,3.201562,3.8327534,3.1780493,3.4928498,6.661081,104.47034,105.12406,102.72436,113.62939,277.76508
2025-06-11 14:00:00-05:00,31.5,29.75,22.8,12.0,3.5735135,4.2059484,3.544009,4.0853395,6.0827627,107.92801,108.00426,106.38962,111.541046,279.46225
2025-06-11 15:00:00-05:00,31.55,29.95,22.95,12.1,4.1231055,4.88467,4.0853395,4.701064,5.141984,112.833694,112.89059,111.541046,113.838745,283.49576
2025-06-11 16:00:00-05:00,31.4,30.0,23.05,12.2,4.6065164,5.500909,4.609772,5.3665633,4.1436696,117.12123,117.030785,114.34108,116.56499,289.74692
2025-06-11 17:00:00-05:00,31.05,29.95,23.1,12.3,5.110772,6.1400323,5.188449,6.003332,3.224903,120.57915,120.32352,117.552734,119.98155,299.74478
2025-06-11 18:00:00-05:00,30.5,29.7,23.05,12.5,5.5758405,6.8505473,5.64358,6.6573267,2.2671568,122.549995,123.6901,119.74478,122.73522,318.57642
2025-06-11 19:00:00-05:00,29.8,29.25,22.9,12.65,5.964059,7.4404297,6.020797,7.420243,1.8973665,124.75598,126.25393,122.106224,127.333275,341.56494
2025-06-11 20:00:00-05:00,28.85,28.55,22.65,12.85,5.9999995,7.762087,6.0464864,8.280701,1.8027755,126.86998,128.19873,124.21575,132.55292,356.82022
2025-06-11 21:00:00-05:00,27.7,27.65,22.25,13.1,5.8412323,7.9397726,5.860034,9.276314,1.6031219,128.04709,130.91429,126.674446,138.05878,3.5762644
2025-06-11 22:00:00-05:00,26.55,26.7,21.9,13.3,5.60803,7.9931216,5.60803,10.14002,1.4142134,129.93633,133.4793,129.93633,143.01701,8.130019
2025-06-11 23:00:00-05:00,25.25,25.7,21.5,13.5,5.3814497,7.9931216,5.3075423,10.82266,1.0049875,131.98714,136.52072,132.70937,148.21913,5.7105074
